position_0,position_1,position_2,position_3,position_4,position_5,position_6,position_7
2111,2063,2172,2129,2065,2003,2002,2003
1856,2053,2149,2082,2038,1986,1915,1868
1883,2088,2188,2134,2068,2001,1840,1071
1945,2151,2232,2161,2115,1997,1887,1107
1879,2066,2195,2126,2041,1890,1684,1064
1902,2086,2214,2137,2023,1807,1030,1023
1801,1985,2083,2024,1905,1757,975,964
1940,2128,2215,2128,1958,1239,1019,989
1944,2130,2232,2140,1900,983,1029,988
1956,2148,2232,2084,2037,1025,996,983
1888,2078,2134,1968,1388,975,957,964
1895,2061,2097,1930,967,962,941,960
1797,1950,1972,1848,984,933,921,945
1942,2079,2041,1368,987,937,949,989
1807,1925,1869,951,932,905,925,950
1902,2020,2048,1005,954,927,960,981
1871,1911,1201,992,948,937,959,995
1815,1848,1006,965,918,927,965,1000
1760,1884,977,942,898,914,953,982
1706,1432,965,928,906,921,965,998
1679,933,927,911,897,919,968,990
3796,3680,3839,3779,3725,3654,3678,3610
3325,3654,3838,3710,3609,3517,3438,3375
3503,3889,4076,3930,3856,3695,3425,1867
3575,3972,4095,4028,3887,3714,3560,1883
3407,3743,3991,3841,3687,3437,3052,1908
3416,3759,3973,3823,3647,3299,1523,1784
3586,3923,4095,3983,3795,3512,1819,1828
3318,3626,3828,3668,3349,2042,1709,1645
3392,3713,3900,3720,3364,1593,1762,1696
3360,3653,3808,3550,3551,1677,1667,1626
3373,3688,3839,3552,2440,1744,1672,1678
3421,3707,3810,3526,1592,1671,1615,1645
3581,3881,3943,3715,1808,1732,1706,1764
3360,3597,3600,2276,1664,1566,1576,1643
3632,3871,3818,1744,1780,1702,1734,1808
3399,3591,3721,1696,1631,1581,1634,1715
3364,3441,2052,1760,1637,1624,1689,1758
3537,3641,1808,1721,1615,1626,1722,1811
3153,3433,1692,1639,1574,1595,1676,1739
3112,2532,1651,1561,1535,1559,1656,1732
3003,1559,1624,1542,1540,1578,1653,1733
4095,4095,4095,4095,4095,4095,4095,4095
4095,4095,4095,4095,4095,4095,4095,4095
4095,4095,4095,4095,4095,4095,4095,2720
4095,4095,4095,4095,4095,4095,4095,2706
4095,4095,4095,4095,4095,4095,4095,2923
4095,4095,4095,4095,4095,4095,2171,2623
4095,4095,4095,4095,4095,4095,2694,2691
4095,4095,4095,4095,4095,3203,2665,2519
4095,4095,4095,4095,4095,2349,2615,2471
4095,4095,4095,4095,4095,2524,2533,2444
4095,4095,4095,4095,3727,2623,2531,2493
4095,4095,4095,4095,2239,2439,2337,2353
4095,4095,4095,4095,2528,2428,2367,2438
4095,4095,4095,3412,2520,2375,2373,2447
4095,4095,4095,2385,2464,2323,2390,2470
4095,4095,4095,2473,2395,2313,2383,2477
4095,4095,2974,2694,2522,2472,2588,2647
4095,4095,2734,2624,2464,2447,2601,2680
4095,4095,2612,2544,2454,2477,2595,2696
4095,3775,2424,2279,2223,2265,2420,2533
4095,2302,2450,2311,2295,2347,2488,2600
