position_0,position_1,position_2,position_3,position_4,position_5,position_6,position_7
2111,2063,2172,2129,2065,2003,2002,2003
1991,1970,2077,2046,1974,1896,1822,1349
1938,1923,2033,1993,1922,1841,1681,573
1968,1951,2064,2036,1956,1858,1601,516
2002,1970,2071,2062,1954,1794,841,456
1921,1890,1987,1944,1844,1623,434,428
2028,2000,2090,2032,1923,1538,331,420
1928,1896,2003,1942,1769,926,293,407
2028,1994,2079,1999,1738,369,276,379
2083,2045,2129,2021,1620,293,282,407
1912,1872,1939,1825,818,238,250,370
2018,1978,2047,1851,366,250,269,383
1881,1842,1884,1594,243,228,246,362
1965,1903,1901,1232,242,240,263,381
1990,1906,1788,388,221,218,238,351
1971,1879,1635,287,229,237,266,376
1962,1796,939,255,229,237,267,388
1951,1716,367,247,233,245,272,395
1942,1561,251,248,231,244,266,388
1941,1112,256,265,250,262,291,410
1738,352,227,244,238,245,277,394
3796,3680,3839,3779,3725,3654,3678,3610
3675,3609,3791,3704,3558,3445,3359,2484
3823,3789,3967,3871,3729,3588,3333,1071
3751,3657,3869,3772,3668,3516,3123,917
3702,3619,3813,3744,3587,3328,1550,794
3596,3511,3682,3592,3462,3108,743,756
3797,3711,3880,3779,3605,2981,595,765
3544,3467,3629,3530,3268,1723,503,694
3671,3589,3760,3633,3192,636,473,667
3560,3472,3627,3470,2832,466,453,649
3991,3905,4068,3838,1717,493,516,736
3576,3492,3599,3293,607,407,439,648
3875,3767,3863,3308,503,464,500,719
3455,3349,3377,2181,388,388,428,623
3708,3546,3360,746,466,476,505,696
3727,3560,3142,492,390,418,449,655
3584,3322,1742,458,436,457,496,701
3603,3203,631,415,406,432,479,693
3765,3075,484,448,443,465,515,730
3617,2068,420,421,420,450,495,712
3458,671,447,466,471,500,544,758
4095,4095,4095,4095,4095,4095,4095,4095
4095,4095,4095,4095,4095,4095,4095,3739
4095,4095,4095,4095,4095,4095,4095,1563
4095,4095,4095,4095,4095,4095,4095,1335
4095,4095,4095,4095,4095,4095,2381,1145
4095,4095,4095,4095,4095,4095,1113,1076
4095,4095,4095,4095,4095,4095,877,1094
4095,4095,4095,4095,4095,2746,762,1033
4095,4095,4095,4095,4095,993,736,1006
4095,4095,4095,4095,4095,688,673,955
4095,4095,4095,4095,2355,657,700,974
4095,4095,4095,4095,874,590,640,910
4095,4095,4095,4095,684,629,691,964
4095,4095,4095,3644,634,634,700,984
4095,4095,4095,1061,652,668,720,970
4095,4095,4095,702,569,600,652,923
4095,4095,3023,870,848,877,940,1221
4095,4095,1024,673,659,711,788,1078
4095,4095,762,709,722,766,834,1093
4095,3113,595,603,602,642,720,990
4095,951,632,655,655,715,785,1064
