position_0,position_1,position_2,position_3,position_4,position_5,position_6,position_7
2111,2063,2172,2129,2065,2003,2002,2003
2301,2313,2414,2344,2299,2236,2218,2206
2095,2069,2159,2112,2042,1997,1935,1439
2057,2027,2110,2049,1981,1929,1878,1419
2115,2100,2179,2107,2067,1968,1806,1433
2058,2031,2116,2042,1982,1874,1535,1408
2072,2052,2133,2059,1981,1870,1528,1415
2019,2000,2080,2008,1917,1908,1504,1386
2177,2155,2235,2148,2001,1587,1554,1426
2104,2071,2143,2043,2017,1498,1535,1412
2084,2054,2120,2018,2068,1488,1492,1363
2084,2054,2120,2018,2068,1488,1492,1363
2012,1983,2040,1978,1474,1463,1468,1357
1999,1960,2002,1974,1473,1463,1468,1357
2130,2067,2062,1583,1504,1483,1495,1389
2152,2078,2117,1510,1519,1499,1519,1414
2034,1949,1965,1440,1456,1441,1456,1358
2035,1933,1520,1453,1455,1437,1460,1361
1959,1932,1413,1448,1431,1425,1441,1344
1933,2048,1388,1413,1412,1401,1415,1326
2031,1444,1391,1437,1436,1437,1471,1381
3796,3680,3839,3779,3725,3654,3678,3610
3667,3675,3854,3761,3703,3599,3595,3542
3567,3530,3663,3565,3467,3357,3270,2312
3817,3758,3914,3811,3716,3589,3496,2369
3572,3519,3640,3543,3439,3277,2913,2304
3613,3574,3718,3616,3493,3273,2589,2295
3583,3533,3674,3572,3434,3267,2440,2260
3604,3558,3688,3574,3452,3487,2512,2269
3548,3502,3625,3505,3269,2444,2431,2215
3578,3526,3650,3516,3480,2461,2568,2326
3891,3823,3915,3754,3808,2506,2505,2297
3868,3791,3879,3708,2513,2523,2522,2327
3536,3467,3535,3447,2328,2336,2331,2163
3529,3463,3519,3433,2443,2403,2415,2253
3796,3685,3682,2623,2480,2438,2483,2319
3543,3438,3516,2302,2342,2307,2341,2184
3738,3566,3443,2415,2419,2413,2468,2317
3567,3411,2400,2315,2315,2301,2364,2213
3550,3558,2331,2381,2372,2375,2428,2280
3657,3897,2291,2351,2356,2366,2431,2287
3471,2318,2283,2335,2345,2359,2424,2290
4095,4095,4095,4095,4095,4095,4095,4095
4095,4095,4095,4095,4095,4095,4095,4095
4095,4095,4095,4095,4095,4095,4095,3292
4095,4095,4095,4095,4095,4095,4095,3280
4095,4095,4095,4095,4095,4095,4095,3368
4095,4095,4095,4095,4095,4095,3830,3318
4095,4095,4095,4095,4095,4095,3540,3276
4095,4095,4095,4095,4095,4095,3750,3318
4095,4095,4095,4095,4095,3403,3582,3197
4095,4095,4095,4095,4095,3397,3599,3184
4095,4095,4095,4095,4095,3532,3521,3183
4095,4095,4095,4095,3367,3454,3440,3152
4095,4095,4095,4095,3414,3444,3422,3163
4095,4095,4095,4095,3447,3409,3450,3179
4095,4095,4095,3566,3372,3310,3356,3102
4095,4095,4095,3230,3303,3249,3323,3085
4095,4095,4095,3420,3420,3398,3489,3247
4095,4095,3594,3443,3459,3466,3567,3321
4095,4095,3183,3268,3255,3269,3364,3134
4095,4095,3175,3237,3273,3297,3395,3167
4095,3208,3191,3257,3296,3318,3424,3198
