position_0,position_1,position_2,position_3,position_4,position_5,position_6,position_7
1997,1947,1897,1847,1797,1747,1697,1648
1947,1897,1847,1797,1747,1697,1648,1599
1897,1847,1797,1747,1697,1648,1599,1550
1847,1797,1747,1697,1648,1599,1550,1501
1797,1747,1697,1648,1599,1550,1501,1453
1747,1697,1648,1599,1550,1501,1453,1405
1697,1648,1599,1550,1501,1453,1405,1358
1648,1599,1550,1501,1453,1405,1358,1311
1599,1550,1501,1453,1405,1358,1311,1264
1550,1501,1453,1405,1358,1311,1264,1218
1501,1453,1405,1358,1311,1264,1218,1172
1453,1405,1358,1311,1264,1218,1172,1127
1405,1358,1311,1264,1218,1172,1127,1082
1358,1311,1264,1218,1172,1127,1082,1038
1311,1264,1218,1172,1127,1082,1038,995
1264,1218,1172,1127,1082,1038,995,952
1218,1172,1127,1082,1038,995,952,910
1172,1127,1082,1038,995,952,910,869
1127,1082,1038,995,952,910,869,828
1082,1038,995,952,910,869,828,788
1038,995,952,910,869,828,788,749
995,952,910,869,828,788,749,710
952,910,869,828,788,749,710,672
910,869,828,788,749,710,672,636
869,828,788,749,710,672,636,600
828,788,749,710,672,636,600,565
788,749,710,672,636,600,565,530
749,710,672,636,600,565,530,497
710,672,636,600,565,530,497,465
672,636,600,565,530,497,465,433
636,600,565,530,497,465,433,403
600,565,530,497,465,433,403,373
565,530,497,465,433,403,373,345
530,497,465,433,403,373,345,318
497,465,433,403,373,345,318,291
465,433,403,373,345,318,291,266
433,403,373,345,318,291,266,242
403,373,345,318,291,266,242,219
373,345,318,291,266,242,219,197
345,318,291,266,242,219,197,176
318,291,266,242,219,197,176,156
291,266,242,219,197,176,156,137
266,242,219,197,176,156,137,120
242,219,197,176,156,137,120,103
219,197,176,156,137,120,103,88
197,176,156,137,120,103,88,74
176,156,137,120,103,88,74,61
156,137,120,103,88,74,61,50
137,120,103,88,74,61,50,39
120,103,88,74,61,50,39,30
103,88,74,61,50,39,30,22
88,74,61,50,39,30,22,15
74,61,50,39,30,22,15,10
61,50,39,30,22,15,10,6
50,39,30,22,15,10,6,2
39,30,22,15,10,6,2,1
30,22,15,10,6,2,1,0
22,15,10,6,2,1,0,1
15,10,6,2,1,0,1,2
10,6,2,1,0,1,2,6
6,2,1,0,1,2,6,10
2,1,0,1,2,6,10,15
1,0,1,2,6,10,15,22
0,1,2,6,10,15,22,30
1,2,6,10,15,22,30,39
2,6,10,15,22,30,39,50
6,10,15,22,30,39,50,61
10,15,22,30,39,50,61,74
15,22,30,39,50,61,74,88
22,30,39,50,61,74,88,103
30,39,50,61,74,88,103,120
39,50,61,74,88,103,120,137
50,61,74,88,103,120,137,156
61,74,88,103,120,137,156,176
74,88,103,120,137,156,176,197
88,103,120,137,156,176,197,219
103,120,137,156,176,197,219,242
120,137,156,176,197,219,242,266
137,156,176,197,219,242,266,291
156,176,197,219,242,266,291,318
176,197,219,242,266,291,318,345
197,219,242,266,291,318,345,373
219,242,266,291,318,345,373,403
242,266,291,318,345,373,403,433
266,291,318,345,373,403,433,465
291,318,345,373,403,433,465,497
318,345,373,403,433,465,497,530
345,373,403,433,465,497,530,565
373,403,433,465,497,530,565,600
403,433,465,497,530,565,600,636
433,465,497,530,565,600,636,672
465,497,530,565,600,636,672,710
497,530,565,600,636,672,710,749
530,565,600,636,672,710,749,788
565,600,636,672,710,749,788,828
600,636,672,710,749,788,828,869
636,672,710,749,788,828,869,910
672,710,749,788,828,869,910,952
710,749,788,828,869,910,952,995
749,788,828,869,910,952,995,1038
788,828,869,910,952,995,1038,1082
828,869,910,952,995,1038,1082,1127
869,910,952,995,1038,1082,1127,1172
910,952,995,1038,1082,1127,1172,1218
952,995,1038,1082,1127,1172,1218,1264
995,1038,1082,1127,1172,1218,1264,1311
1038,1082,1127,1172,1218,1264,1311,1358
1082,1127,1172,1218,1264,1311,1358,1405
1127,1172,1218,1264,1311,1358,1405,1453
1172,1218,1264,1311,1358,1405,1453,1501
1218,1264,1311,1358,1405,1453,1501,1550
1264,1311,1358,1405,1453,1501,1550,1599
1311,1358,1405,1453,1501,1550,1599,1648
1358,1405,1453,1501,1550,1599,1648,1697
1405,1453,1501,1550,1599,1648,1697,1747
1453,1501,1550,1599,1648,1697,1747,1797
1501,1550,1599,1648,1697,1747,1797,1847
1550,1599,1648,1697,1747,1797,1847,1897
1599,1648,1697,1747,1797,1847,1897,1947
1648,1697,1747,1797,1847,1897,1947,1997
1697,1747,1797,1847,1897,1947,1997,2048
1747,1797,1847,1897,1947,1997,2048,2098
1797,1847,1897,1947,1997,2048,2098,2148
1847,1897,1947,1997,2048,2098,2148,2198
1897,1947,1997,2048,2098,2148,2198,2248
1947,1997,2048,2098,2148,2198,2248,2298
1997,2048,2098,2148,2198,2248,2298,2348
2048,2098,2148,2198,2248,2298,2348,2398
2098,2148,2198,2248,2298,2348,2398,2447
2148,2198,2248,2298,2348,2398,2447,2496
2198,2248,2298,2348,2398,2447,2496,2545
2248,2298,2348,2398,2447,2496,2545,2594
2298,2348,2398,2447,2496,2545,2594,2642
2348,2398,2447,2496,2545,2594,2642,2690
2398,2447,2496,2545,2594,2642,2690,2737
2447,2496,2545,2594,2642,2690,2737,2784
2496,2545,2594,2642,2690,2737,2784,2831
2545,2594,2642,2690,2737,2784,2831,2877
2594,2642,2690,2737,2784,2831,2877,2923
2642,2690,2737,2784,2831,2877,2923,2968
2690,2737,2784,2831,2877,2923,2968,3013
2737,2784,2831,2877,2923,2968,3013,3057
2784,2831,2877,2923,2968,3013,3057,3100
2831,2877,2923,2968,3013,3057,3100,3143
2877,2923,2968,3013,3057,3100,3143,3185
2923,2968,3013,3057,3100,3143,3185,3226
2968,3013,3057,3100,3143,3185,3226,3267
3013,3057,3100,3143,3185,3226,3267,3307
3057,3100,3143,3185,3226,3267,3307,3346
3100,3143,3185,3226,3267,3307,3346,3385
3143,3185,3226,3267,3307,3346,3385,3423
3185,3226,3267,3307,3346,3385,3423,3459
3226,3267,3307,3346,3385,3423,3459,3495
3267,3307,3346,3385,3423,3459,3495,3530
3307,3346,3385,3423,3459,3495,3530,3565
3346,3385,3423,3459,3495,3530,3565,3598
3385,3423,3459,3495,3530,3565,3598,3630
3423,3459,3495,3530,3565,3598,3630,3662
3459,3495,3530,3565,3598,3630,3662,3692
3495,3530,3565,3598,3630,3662,3692,3722
3530,3565,3598,3630,3662,3692,3722,3750
3565,3598,3630,3662,3692,3722,3750,3777
3598,3630,3662,3692,3722,3750,3777,3804
3630,3662,3692,3722,3750,3777,3804,3829
3662,3692,3722,3750,3777,3804,3829,3853
3692,3722,3750,3777,3804,3829,3853,3876
3722,3750,3777,3804,3829,3853,3876,3898
3750,3777,3804,3829,3853,3876,3898,3919
3777,3804,3829,3853,3876,3898,3919,3939
3804,3829,3853,3876,3898,3919,3939,3958
3829,3853,3876,3898,3919,3939,3958,3975
3853,3876,3898,3919,3939,3958,3975,3992
3876,3898,3919,3939,3958,3975,3992,4007
3898,3919,3939,3958,3975,3992,4007,4021
3919,3939,3958,3975,3992,4007,4021,4034
3939,3958,3975,3992,4007,4021,4034,4045
3958,3975,3992,4007,4021,4034,4045,4056
3975,3992,4007,4021,4034,4045,4056,4065
3992,4007,4021,4034,4045,4056,4065,4073
4007,4021,4034,4045,4056,4065,4073,4080
4021,4034,4045,4056,4065,4073,4080,4085
4034,4045,4056,4065,4073,4080,4085,4089
4045,4056,4065,4073,4080,4085,4089,4093
4056,4065,4073,4080,4085,4089,4093,4094
4065,4073,4080,4085,4089,4093,4094,4095
4073,4080,4085,4089,4093,4094,4095,4094
4080,4085,4089,4093,4094,4095,4094,4093
4085,4089,4093,4094,4095,4094,4093,4089
4089,4093,4094,4095,4094,4093,4089,4085
4093,4094,4095,4094,4093,4089,4085,4080
4094,4095,4094,4093,4089,4085,4080,4073
4095,4094,4093,4089,4085,4080,4073,4065
4094,4093,4089,4085,4080,4073,4065,4056
4093,4089,4085,4080,4073,4065,4056,4045
4089,4085,4080,4073,4065,4056,4045,4034
4085,4080,4073,4065,4056,4045,4034,4021
4080,4073,4065,4056,4045,4034,4021,4007
4073,4065,4056,4045,4034,4021,4007,3992
4065,4056,4045,4034,4021,4007,3992,3975
4056,4045,4034,4021,4007,3992,3975,3958
4045,4034,4021,4007,3992,3975,3958,3939
4034,4021,4007,3992,3975,3958,3939,3919
4021,4007,3992,3975,3958,3939,3919,3898
4007,3992,3975,3958,3939,3919,3898,3876
3992,3975,3958,3939,3919,3898,3876,3853
3975,3958,3939,3919,3898,3876,3853,3829
3958,3939,3919,3898,3876,3853,3829,3804
3939,3919,3898,3876,3853,3829,3804,3777
3919,3898,3876,3853,3829,3804,3777,3750
3898,3876,3853,3829,3804,3777,3750,3722
3876,3853,3829,3804,3777,3750,3722,3692
3853,3829,3804,3777,3750,3722,3692,3662
3829,3804,3777,3750,3722,3692,3662,3630
3804,3777,3750,3722,3692,3662,3630,3598
3777,3750,3722,3692,3662,3630,3598,3565
3750,3722,3692,3662,3630,3598,3565,3530
3722,3692,3662,3630,3598,3565,3530,3495
3692,3662,3630,3598,3565,3530,3495,3459
3662,3630,3598,3565,3530,3495,3459,3423
3630,3598,3565,3530,3495,3459,3423,3385
3598,3565,3530,3495,3459,3423,3385,3346
3565,3530,3495,3459,3423,3385,3346,3307
3530,3495,3459,3423,3385,3346,3307,3267
3495,3459,3423,3385,3346,3307,3267,3226
3459,3423,3385,3346,3307,3267,3226,3185
3423,3385,3346,3307,3267,3226,3185,3143
3385,3346,3307,3267,3226,3185,3143,3100
3346,3307,3267,3226,3185,3143,3100,3057
3307,3267,3226,3185,3143,3100,3057,3013
3267,3226,3185,3143,3100,3057,3013,2968
3226,3185,3143,3100,3057,3013,2968,2923
3185,3143,3100,3057,3013,2968,2923,2877
3143,3100,3057,3013,2968,2923,2877,2831
3100,3057,3013,2968,2923,2877,2831,2784
3057,3013,2968,2923,2877,2831,2784,2737
3013,2968,2923,2877,2831,2784,2737,2690
2968,2923,2877,2831,2784,2737,2690,2642
2923,2877,2831,2784,2737,2690,2642,2594
2877,2831,2784,2737,2690,2642,2594,2545
2831,2784,2737,2690,2642,2594,2545,2496
2784,2737,2690,2642,2594,2545,2496,2447
2737,2690,2642,2594,2545,2496,2447,2398
2690,2642,2594,2545,2496,2447,2398,2348
2642,2594,2545,2496,2447,2398,2348,2298
2594,2545,2496,2447,2398,2348,2298,2248
2545,2496,2447,2398,2348,2298,2248,2198
2496,2447,2398,2348,2298,2248,2198,2148
2447,2398,2348,2298,2248,2198,2148,2098
2398,2348,2298,2248,2198,2148,2098,2048
2348,2298,2248,2198,2148,2098,2048,
2298,2248,2198,2148,2098,2048,,
2248,2198,2148,2098,2048,,,
2198,2148,2098,2048,,,,
2148,2098,2048,,,,,
2098,2048,,,,,,
2048,,,,,,,
